gb_id,title,subtitle,authors,publisher,pub_date,language,categories,isbn13,isbn10,price_amount,price_currency,paginas,formato
aWx1tAEACAAJ,Data Science for Business,,Foster Provost,,2013,en,Big data,9781449374273,1449374271,,,,BOOK
CfjpAQAAQBAJ,Data Smart,Using Data Science to Transform Information into Insight,John W. Foreman,John Wiley & Sons,2013-10-31,en,Business & Economics,9781118839867,1118839862,,,432,BOOK
oaH-zwEACAAJ,"Data Science from Scratch, 2nd Edition",,Joel Grus,,2019,en,,,,,,0,BOOK
tYp50AEACAAJ,Mindmasters,The Data-Driven Science of Predicting and Changing Human Behavior,SANDRA. MATZ,,2025-01-07,en,Business & Economics,9781647826314,1647826314,,,0,BOOK
ZRATtAEACAAJ,R for Data Science,,Hadley Wickham. Garrett Grolemund,,2016,en,,9781491910382,1491910380,,,,BOOK
-L79DwAAQBAJ,Armas de destrucción matemática,Cómo el Big Data aumenta la desigualdad y amenaza la democracia,Cathy O'Neil,Capitán Swing Libros,2018-01-22,es,Literary Collections,9788412191301,8412191307,8.99,EUR,256,BOOK
T2LeAQAACAAJ,Numsense! Data Science for the Layman,No Math Added,Annalyn Ng,Annalyn Ng & Kenneth Soo,2017-03-24,en,,9789811110689,9811110689,,,,BOOK
t9bxzgEACAAJ,"Python Data Science Handbook, 2nd Edition",,Jake VanderPlas,,2022,en,,,,,,109,BOOK
p_fTxQEACAAJ,Deep Learning,,John D. Kelleher,,2019,en,Artificial intelligence,9780262354899,0262354896,,,272,BOOK
GCUqEAAAQBAJ,Becoming a Data Head,"How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",Alex J. Gutman;Jordan Goldmeier,John Wiley & Sons,2021-04-13,en,Business & Economics,9781119741763,1119741769,27.99,EUR,269,BOOK
o2ovDgAAQBAJ,Data Science For Dummies,,Lillian Pierson,John Wiley & Sons,2017-02-21,en,Computers,9781119327653,1119327652,,,408,BOOK
82iszgEACAAJ,Ace the Data Science Interview,"201 Real Interview Questions Asked by FAANG, Tech Startups, & Wall Street",Kevin Huo;Nick Singh,,2021,en,Business & Economics,9780578973838,0578973839,,,0,BOOK
GSePDAEACAAJ,R Programming for Data Science,,Roger D. Peng,,2012-04-19,en,R (Computer program language),9781365056826,1365056821,,,0,BOOK
-OQ2q5JqOdEC,What Is Data Science?,,Mike Loukides,"""O'Reilly Media, Inc.""",2011-04-10,en,Computers,9781449336097,1449336094,0.0,EUR,21,BOOK
pyw1EAAAQBAJ,Minding the Machines,Building and Leading Data Science and Analytics Teams,Jeremy Adamson,John Wiley & Sons,2021-06-25,en,Computers,9781119785330,1119785332,25.99,EUR,191,BOOK
